basket_id,product1,product2,product3,product4,product5,product6,product7,product8,product9,,,
1,shrimp,avocado,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,
2,burgers,turkey,tomatoes,,,,,,,,,
3,groundbeef,,,,,,,,,,,
4,soup,cookies,,,,,,,,,,
5,frozenvegetables,pancakes,energybar,oliveoil,honey,,,,,,,
6,mineralwater,,,,,,,,,,,
7,shrimp,avocado,,,,,,,,,,
8,spaghetti,chocolate,milk,,,,,,,,,
9,frenchfries,greentea,burgers,,,,,,,,,
10,turkey,,,,,,,,,,,
11,tomatoes,groundbeef,soup,,,,,,,,,
12,cookies,frozenvegetables,pancakes,,,,,,,,,
13,energybar,oliveoil,honey,mineralwater,eggs,,,,,,,
14,spaghetti,chocolate,,,,,,,,,,
15,milk,frenchfries,,,,,,,,,,
16,greentea,burgers,turkey,tomatoes,,,,,,,,
17,shrimp,avocado,mineralwater,,,,,,,,,
18,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,,,,
19,burgers,turkey,tomatoes,groundbeef,soup,,,,,,,
20,cookies,frozenvegetables,pancakes,energybar,,,,,,,,
21,oliveoil,honey,mineralwater,eggs,spaghetti,,,,,,,
22,chocolate,milk,frenchfries,,,,,,,,,
23,greentea,burgers,turkey,,,,,,,,,
24,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,oliveoil,honey,,,
25,mineralwater,eggs,,,,,,,,,,
26,spaghetti,chocolate,milk,frenchfries,greentea,burgers,,,,,,
27,turkey,tomatoes,groundbeef,,,,,,,,,
28,soup,cookies,,,,,,,,,,
29,frozenvegetables,pancakes,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,,
30,chocolate,,,,,,,,,,,
31,milk,frenchfries,greentea,,,,,,,,,
32,burgers,turkey,tomatoes,groundbeef,soup,,,,,,,
33,cookies,frozenvegetables,pancakes,,,,,,,,,
34,energybar,oliveoil,honey,mineralwater,,,,,,,,
35,eggs,spaghetti,,,,,,,,,,
36,chocolate,milk,frenchfries,greentea,burgers,turkey,,,,,,
37,tomatoes,groundbeef,soup,cookies,,,,,,,,
38,frozenvegetables,pancakes,energybar,,,,,,,,,
39,oliveoil,honey,mineralwater,eggs,spaghetti,chocolate,milk,frenchfries,greentea,,,
40,burgers,,,,,,,,,,,
41,turkey,tomatoes,groundbeef,,,,,,,,,
42,soup,cookies,frozenvegetables,,,,,,,,,
43,pancakes,energybar,oliveoil,honey,,,,,,,,
44,mineralwater,eggs,spaghetti,chocolate,milk,,,,,,,
45,frenchfries,greentea,burgers,,,,,,,,,
46,turkey,tomatoes,groundbeef,soup,cookies,frozenvegetables,pancakes,,,,,
47,energybar,oliveoil,honey,mineralwater,eggs,spaghetti,,,,,,
48,chocolate,milk,frenchfries,,,,,,,,,
49,greentea,burgers,turkey,tomatoes,,,,,,,,
50,groundbeef,soup,cookies,frozenvegetables,pancakes,energybar,,,,,,
51,oliveoil,honey,mineralwater,,,,,,,,,
52,eggs,spaghetti,chocolate,milk,frenchfries,greentea,burgers,turkey,tomatoes,,,
53,groundbeef,soup,cookies,,,,,,,,,
54,frozenvegetables,pancakes,energybar,oliveoil,honey,,,,,,,
